created_at,card_id,name,rarity,description,power_hp,torque_nm,max_speed_kmh,weight_t,make,model,year,acceleration_0_100,power_kw,cylinder,engine_size,boost,id,legacy_id,country_code
2025-09-02 14:39:16.204046+00,ff4ce37d-8428-4939-b348-af8b455811d9,,,Acura Legend (KA7) sedan,200,,,,Acura,Legend,1991,,149.1,6.0,3.2 V6,NA,b540344f-fc91-4523-a26b-ba3399f60217,,🇯🇵
2025-05-15 05:09:22.747084+00,9017d63e-2146-4c49-bc4f-fe6e6efc6bb5,Spider,Uncommon,,126,177,190,1280,Alfa Romeo,Spider,1990,10.4,93,4,1962,N/A,b5c69c07-5734-4970-9826-589bad2917dd,11,🇮🇹
2025-03-27 15:39:57.999519+00,a1ab3e3b-0695-48ab-b2d5-b9c019517959,Abarth,,,,,,,Abarth,500,,,160,,,,ba5e0c4e-b52a-41eb-9d1d-af6be4423b37,7,🇮🇹
2025-09-02 14:39:16.204046+00,039994e3-b810-459b-bfb3-e1bb70e9216f,,,Acura ZDX 3.7,300,,,,Acura,ZDX 3.7,2012,,223.7,6.0,3.7 V6,NA,bae26b7d-1e9e-491e-b31c-ab17cf210dbe,,🇯🇵
2025-09-02 14:39:16.204046+00,6e82f7f1-360d-40a2-9e69-8d29d6f97f40,,,Acura MDX Sport Hybrid,321,,,,Acura,MDX Sport Hybrid,2017,,239.4,6.0,3.0 V6 Hybrid,Hybrid,bbda967b-8a1e-40ec-90a4-31a29f153d33,,🇯🇵
2025-09-02 14:39:16.204046+00,8970d4a1-17a7-4bbc-85ff-e5aa16d0c6de,,,Acura NSX (NC1) Hybrid,573,645.3607999999999,307.0,1.725,Acura,NSX NC1,2017,2.9,427.3,6.0,3.5 TT V6 + 3 e-motors,Twin-turbo + Hybrid,bec5dfcb-e258-4ed5-b1bc-a416da8f68ca,,🇯🇵
2025-09-02 14:39:16.204046+00,287a2ebb-1d6f-4c26-ae3c-63cf62c6d61b,,,Acura Vigor,176,225.0,,,Acura,Vigor,1994,,131.2,5.0,2.5 I5,NA,c0428b9e-cdb5-4a9d-bdb8-de891a113c0c,,🇯🇵
2025-05-15 05:09:22.747042+00,682b1ecf-85de-4ff7-bd59-2199b504ed82,"MiTo 1.4 TB MultiAir (170 Hp) TCT ",common,,170,250,219,1170,Alfa Romeo,MiTo,2016,7.4,125,4,1368,Turbo,c19953f3-16db-4141-ab38-b49d516b08d6,7,🇮🇹
2025-09-02 14:39:16.204046+00,5cbc8b60-adab-4c53-aee9-0895a9c3d978,,,Acura NSX (NC1) update,573,645.3607999999999,307.0,,Acura,NSX NC1,2019,3.0,427.3,6.0,3.5 TT V6 + 3 e-motors,Twin-turbo + Hybrid,c28cb29e-44fa-4d3b-b07a-31fd979d2039,,🇯🇵
2025-09-02 14:39:16.204046+00,694e8177-08fd-42cd-9894-5f5c9e88e358,,,Acura MDX Type S (4th gen),355,480.0,,,Acura,MDX Type S,2022,5.5,264.7,6.0,3.0 V6 Turbo,Turbo,c4d423a1-3203-418e-8813-119d0e92448c,,🇯🇵
2025-08-21 12:33:23.819234+00,fda0ed53-2202-43d0-a839-968ae0214a3f,Ferrari F50 GT,Legend,,740,529,376,907,Ferrari,F50 GT,1996,2.9,552,V12,4698,N/A,c690d194-e886-4606-8369-f7faa6879c31,,🇮🇹
2025-03-27 08:44:10.817225+00,f3dfd12f-79cd-4886-a118-4d393c607ba0,Abarth 124 spider,Common,,170,250,222,1060,Abarth,124 Spider,2016,6.8,125,4,1368,,c6a9e70b-43ec-4686-9c9f-12228cac6173,5,🇮🇹
2025-04-09 06:28:47.401868+00,5b96ac3c-13c0-4ff7-8421-947992841ce1,Alfa Roméo 145 930,Rare,,155,187,211,1240,Alfa Romeo,155 930,1999,"8,3",131.11,4,2.0,N.A,c89550ed-c06a-4f0d-92ee-401d6be2894e,9,🇮🇹
2025-09-02 14:39:16.204046+00,e55258cc-bb6a-44c1-9fdf-e1115fab1014,,,Acura TL 3.2,270,,,,Acura,TL 3.2,2004,6.0,201.3,6.0,3.2 V6,NA,c95a0be5-ec77-4081-9725-eaeb91dd8284,,🇯🇵
2025-09-02 14:39:16.204046+00,1392cd1e-85a7-4fec-ba7f-ca791ab814ff,,,Acura RSX Type-S (K20Z1),210,193.87939999999998,,,Acura,RSX Type-S,2005,6.0,156.6,4.0,2.0 I4,NA,c9675b8d-5e9a-47b1-872a-10cd38a30ac7,,🇯🇵
2025-09-02 14:39:16.204046+00,64104458-ae4c-4d99-9611-73ee1a43b7b2,,,Acura RDX 2.0T,272,380.0,,,Acura,RDX 2.0T,2022,,202.8,4.0,2.0 I4 Turbo,Turbo,d04ad96d-4c7a-4142-91fa-2d56062bb6ce,,🇯🇵
2025-09-02 14:39:16.204046+00,566dc301-0335-450c-b07f-a4c86a9769a0,,,Acura CSX,155,,,,Acura,CSX,2008,,115.6,4.0,1.8 I4,NA,d2d046e8-4813-410a-80f0-084e7a3a1bc3,,🇯🇵
2025-09-02 14:39:16.204046+00,9fabd438-dd37-4469-b370-a3cc87783648,,,Acura TLX 3.5 V6 (1st gen),290,361.99859999999995,,,Acura,TLX 3.5 V6,2015,6.3,216.3,6.0,3.5 V6,NA,d35af0b0-e18f-41b9-a19d-c37082b2b60d,,🇯🇵
2025-09-02 14:39:16.204046+00,dfb749f1-74a6-40d0-9d47-346a40daee57,,,Acura TLX 2.0T,272,380.0,,,Acura,TLX 2.0T,2023,6.1,202.8,4.0,2.0 I4 Turbo,Turbo,d6ee9aed-8b30-47d0-bbe4-60cfc7b69b81,,🇯🇵
2025-03-26 13:10:42.086706+00,f60e6074-36d0-43ab-9ef2-40cd8c975696,Alfa romeo 8C competizione,Legend,,452,480,306,1585,Alfa Romeo,8C Competizione,2007,3.8,331,8,4691,N/A,da3396fc-8092-4ce2-a837-b57adbd6c339,3,🇮🇹
2025-09-02 14:39:16.204046+00,0523f306-cfd7-473b-972c-cc3d0f9e7418,,,Acura TLX Type S,355,480.0,250.0,,Acura,TLX Type S,2024,4.5,264.7,6.0,3.0 V6 Turbo,Turbo,dc67ace3-c55c-499b-8101-3dc42e27e163,,🇯🇵
2025-09-02 14:39:16.204046+00,e36ee852-a426-455b-b3b9-49107d4830f0,,,Acura TLX Type S (UB7),355,480.0,250.0,1.83,Acura,TLX Type S,2021,4.5,264.7,6.0,3.0 V6 Turbo,Turbo,dd4453f1-262d-4e65-81ab-47ef995dc985,,🇯🇵
2025-05-14 15:13:28.852279+00,03c46cb2-a231-46fb-9080-2d08a46c60a0,Alfa Romeo Giulia Quadrifoglio,Epic,Giulia Quadrifoglio high performance,505,600,307,1.524,Alfa Romeo,Giulia Quadrifoglio,2021,3.8,375,6,2891,Turbo,ddd4d510-67eb-4616-8c56-dbc08d52ae42,1,🇮🇹
2025-08-27 09:02:42.254436+00,1b07e31f-2293-42bb-8290-e3607bcb192d,Alfa romeo 155 GTA Stradale,Legend,,187,297,-,1230,Alfa Romeo,155 GTA Stradale,1994,-,137,L4,2000,-,de94b5ea-db12-465d-ad6e-74e440a35695,,🇮🇹
2025-05-15 05:09:22.747193+00,c9fb0fed-348f-45c7-8890-6cfa6f7e593f,145,,,,,,,Alfa Romeo,145,1998,,,,,,e084d00a-b9ac-4a83-a2c6-1cdf19e4c7dd,19,🇮🇹
2025-05-15 05:09:22.747204+00,f9df15ad-19ab-415d-82a0-016c1b8272ff,146,,,,,,,Alfa Romeo,146,1998,,,,,,e429d41a-191d-48f1-b72a-23a9b64527a2,20,🇮🇹
2025-05-15 05:09:22.74718+00,1994b985-16af-4add-a276-6cf988a01265,155,,,,,,,Alfa Romeo,155,1994,,,,,,e487e51a-ab95-45ea-90dd-d64b9fc7ec3f,18,🇮🇹
2025-04-09 07:53:56.306512+00,3fbd644e-fd12-4230-9174-7066c13219fc,Alfa Romeo 145 930,Rare,,105,255,185,1200,Alfa Romeo,145 930,1999,10.4,77,4,1910,Turbo,e6a6b5c9-6ae0-4e02-9727-743dcec1f23c,10,🇮🇹
2025-09-02 14:39:16.204046+00,de84d293-95a6-4726-9fe1-9676c3edf7d8,,,Acura RDX (3rd gen) 2.0T,272,380.0,,,Acura,RDX 2.0T,2019,,202.8,4.0,2.0 I4 Turbo,Turbo,e7961168-adad-4740-999d-95236d183e80,,🇯🇵
2025-09-02 14:39:16.204046+00,6d5e1cc2-3b29-4dcb-ad27-e5e2cc7be571,,,Acura EL,127,,,,Acura,EL,2000,,94.7,4.0,1.6 I4,NA,e7c71154-db04-46b4-b859-fa97cfeaa111,,🇯🇵
2025-05-15 05:09:22.746985+00,0de34a0c-ae2a-43f3-bde7-7f777c6244ec,147 GTA,,,,,,,Alfa Romeo,147 GTA,2003,,,,,,e813dc36-f514-42a8-bead-229f96082347,4,🇮🇹
